DEBUG:root:x,y,area_p,Ax,Ay
DEBUG:root:356,122,0,59,60
DEBUG:root:309,123,0,60,59
DEBUG:root:254,133,0,60,59
DEBUG:root:208,144,0,60,59
DEBUG:root:265,159,0,60,59
DEBUG:root:335,168,0,60,59
DEBUG:root:397,179,0,59,59
DEBUG:root:436,185,0,59,60
DEBUG:root:659,182,0,-60,60
DEBUG:root:475,195,0,59,60
DEBUG:root:483,196,1,59,60
DEBUG:root:548,206,1,-9,60
DEBUG:root:911,622,2,-59,-59
DEBUG:root:863,593,6,-59,-59
DEBUG:root:563,214,1,-44,60
DEBUG:root:635,218,1,-59,60
DEBUG:root:898,218,0,-60,60
DEBUG:root:844,605,5,-59,-59
DEBUG:root:821,599,5,-59,-59
DEBUG:root:917,222,0,-60,60
DEBUG:root:801,595,6,-59,-59
DEBUG:root:919,222,0,-60,60
DEBUG:root:652,232,1,-59,60
DEBUG:root:785,594,8,-59,-59
DEBUG:root:688,240,1,-59,60
DEBUG:root:781,598,10,-59,-59
DEBUG:root:692,244,1,-59,60
DEBUG:root:781,596,10,-59,-59
DEBUG:root:731,600,10,-58,-59
DEBUG:root:682,596,10,-51,-59
DEBUG:root:555,243,1,58,60
DEBUG:root:604,593,11,60,-59
DEBUG:root:487,240,1,59,60
DEBUG:root:760,237,0,-60,60
DEBUG:root:575,593,10,60,-59
DEBUG:root:743,224,0,-60,60
DEBUG:root:465,237,1,59,60
DEBUG:root:541,593,10,60,-59
DEBUG:root:722,219,0,-60,60
DEBUG:root:437,236,1,59,60
DEBUG:root:466,586,11,60,-59
DEBUG:root:654,218,0,-59,60
DEBUG:root:374,233,1,60,59
DEBUG:root:454,575,13,60,-59
DEBUG:root:448,573,14,60,-59
DEBUG:root:337,202,1,60,59
DEBUG:root:634,197,0,-59,60
DEBUG:root:460,575,12,60,-59
DEBUG:root:672,187,0,-60,60
DEBUG:root:373,198,1,60,59
DEBUG:root:601,571,16,59,-59
DEBUG:root:505,181,1,57,60
DEBUG:root:833,182,1,-60,60
DEBUG:root:637,566,17,45,-59
DEBUG:root:541,165,1,-59,60
DEBUG:root:877,165,1,-60,60
DEBUG:root:724,568,18,-59,-59
DEBUG:root:631,145,1,-60,60
DEBUG:root:764,554,18,-59,-59
DEBUG:root:688,124,2,-60,60
DEBUG:root:800,558,13,-59,-59
DEBUG:root:763,107,2,-60,60
DEBUG:root:824,535,12,-59,-58
DEBUG:root:800,88,3,-60,60
DEBUG:root:876,87,3,-60,60
DEBUG:root:858,535,10,-59,59
DEBUG:root:911,72,1,-60,60
DEBUG:root:748,484,28,-59,-55
DEBUG:root:640,481,40,-55,-57
DEBUG:root:500,480,39,59,-57
DEBUG:root:387,485,39,60,-59
DEBUG:root:300,487,39,60,-59
DEBUG:root:215,496,27,60,-59
DEBUG:root:241,488,31,60,-59
DEBUG:root:552,441,45,-16,-54
DEBUG:root:675,441,41,-59,-52
DEBUG:root:691,432,39,-58,59
DEBUG:root:742,422,40,-59,60
DEBUG:root:743,411,36,-59,60
DEBUG:root:767,417,33,-59,60
DEBUG:root:802,409,27,-59,60
DEBUG:root:805,407,27,-59,60
DEBUG:root:806,404,26,-59,60
DEBUG:root:801,402,26,-59,60
DEBUG:root:779,419,29,-59,60
DEBUG:root:784,427,25,-59,60
DEBUG:root:796,446,26,-59,60
DEBUG:root:797,457,26,-59,60
DEBUG:root:748,462,29,-59,60
DEBUG:root:755,478,27,-59,55
DEBUG:root:758,483,25,-59,-31
DEBUG:root:792,493,22,-59,59
DEBUG:root:783,498,21,-59,-29
DEBUG:root:788,511,18,-59,-57
DEBUG:root:783,511,17,-59,-57
DEBUG:root:658,502,17,-56,-58
DEBUG:root:636,510,14,-51,-58
DEBUG:root:635,511,13,-50,-58
DEBUG:root:602,502,15,-36,-58
DEBUG:root:546,503,14,59,-58
DEBUG:root:521,501,13,59,-58
DEBUG:root:484,494,13,60,-59
DEBUG:root:439,486,16,60,-59
DEBUG:root:359,478,16,60,-59
DEBUG:root:339,464,18,60,-59
DEBUG:root:390,464,20,60,-59
DEBUG:root:484,461,20,59,-56
DEBUG:root:509,457,22,59,-55
DEBUG:root:644,440,21,-57,-54
DEBUG:root:711,438,23,-59,60
DEBUG:root:741,426,25,-59,60
DEBUG:root:732,423,25,-59,60
DEBUG:root:797,419,25,-59,60
DEBUG:root:829,403,24,-59,60
DEBUG:root:816,406,27,-59,60
DEBUG:root:803,405,26,-59,60
DEBUG:root:797,414,26,-59,60
DEBUG:root:721,409,24,-59,60
DEBUG:root:682,418,17,-52,60
DEBUG:root:597,415,16,-52,-50
DEBUG:root:510,425,17,55,-52
DEBUG:root:493,428,16,59,-51
DEBUG:root:433,436,16,59,-52
DEBUG:root:391,426,13,60,-59
DEBUG:root:302,441,13,60,-59
DEBUG:root:283,438,13,60,-59
DEBUG:root:300,436,12,60,-59
DEBUG:root:325,436,13,60,-59
DEBUG:root:338,435,13,60,-59
DEBUG:root:382,428,14,60,-59
DEBUG:root:419,426,14,59,-50
DEBUG:root:466,421,13,59,-51
DEBUG:root:508,418,13,48,-51
DEBUG:root:508,419,12,50,-51
DEBUG:root:570,418,18,-40,-51
DEBUG:root:648,417,17,-58,-39
DEBUG:root:679,416,17,-50,60
DEBUG:root:710,415,17,-59,60
DEBUG:root:759,416,18,-59,60
DEBUG:root:781,411,17,-59,60
DEBUG:root:788,403,17,-59,60
DEBUG:root:789,381,18,-59,60
DEBUG:root:728,374,18,-59,60
DEBUG:root:681,385,17,-57,60
DEBUG:root:598,401,13,-54,-46
DEBUG:root:521,403,13,0,-48
DEBUG:root:437,408,13,59,-51
DEBUG:root:420,408,13,59,-51
DEBUG:root:356,437,13,60,-59
DEBUG:root:937,107,0,-60,60
DEBUG:root:358,443,12,60,-59
DEBUG:root:335,445,12,60,-59
DEBUG:root:342,430,14,60,-59
DEBUG:root:381,428,13,60,-59
DEBUG:root:392,423,11,60,-59
DEBUG:root:438,406,12,59,-50
DEBUG:root:439,410,12,59,-51
DEBUG:root:521,409,11,2,-49
DEBUG:root:548,400,12,-30,-46
DEBUG:root:618,399,12,-50,-34
DEBUG:root:633,390,11,51,60
DEBUG:root:708,390,11,-59,60
DEBUG:root:726,383,11,-59,60
DEBUG:root:732,373,13,-59,60
DEBUG:root:712,370,16,-59,60
DEBUG:root:671,368,17,-55,60
DEBUG:root:657,380,14,-26,60
DEBUG:root:615,382,11,58,60
DEBUG:root:526,390,12,-13,-44
DEBUG:root:467,399,12,59,-44
DEBUG:root:413,407,12,59,-50
DEBUG:root:318,426,11,60,-59
DEBUG:root:284,439,13,60,-59
DEBUG:root:252,440,14,60,-59
DEBUG:root:245,457,16,60,-59
DEBUG:root:300,447,17,60,-59
DEBUG:root:344,450,18,60,-59
DEBUG:root:414,441,18,60,-58
DEBUG:root:488,439,19,59,-52
DEBUG:root:453,425,19,59,-53
DEBUG:root:437,313,10,59,59
DEBUG:root:449,315,7,59,59
DEBUG:root:449,328,7,59,50
DEBUG:root:418,315,6,59,56
DEBUG:root:310,382,17,60,-59
DEBUG:root:342,390,17,60,-59
DEBUG:root:344,401,11,60,-59
DEBUG:root:362,406,11,60,-59
DEBUG:root:380,425,13,60,-59
DEBUG:root:388,428,19,60,-59
DEBUG:root:393,429,20,60,-59
DEBUG:root:399,417,17,59,-52
DEBUG:root:415,404,12,59,-50
DEBUG:root:447,279,6,59,60
DEBUG:root:469,274,5,59,60
DEBUG:root:472,240,5,59,60
DEBUG:root:488,259,8,59,60
DEBUG:root:500,256,7,59,60
DEBUG:root:493,259,7,59,60
DEBUG:root:490,256,6,59,60
DEBUG:root:491,277,7,59,60
DEBUG:root:502,314,8,59,60
DEBUG:root:502,346,7,56,43
DEBUG:root:471,365,12,32,-34
DEBUG:root:491,387,12,23,-43
DEBUG:root:465,407,10,59,-46
DEBUG:root:438,426,13,59,-54
DEBUG:root:468,449,17,59,-56
DEBUG:root:453,456,14,59,-55
DEBUG:root:409,458,12,60,-59
DEBUG:root:409,456,13,60,-59
DEBUG:root:429,455,11,60,-59
DEBUG:root:472,453,13,59,-56
DEBUG:root:469,447,13,59,-55
DEBUG:root:536,451,16,49,-55
DEBUG:root:571,442,16,-33,-54
DEBUG:root:650,437,16,-58,-53
DEBUG:root:655,421,14,-58,-34
DEBUG:root:669,419,11,-44,59
DEBUG:root:724,425,13,-59,60
DEBUG:root:747,391,14,-59,60
DEBUG:root:753,356,14,-59,60
DEBUG:root:697,347,12,-59,60
DEBUG:root:623,335,8,42,60
DEBUG:root:578,315,7,59,60
DEBUG:root:520,316,6,59,60
DEBUG:root:471,326,7,59,58
DEBUG:root:402,335,6,59,-20
DEBUG:root:393,335,5,59,-24
DEBUG:root:384,352,6,59,-39
DEBUG:root:426,345,6,59,-20
DEBUG:root:467,350,6,30,-26
DEBUG:root:465,350,6,31,-26
DEBUG:root:546,365,7,21,6
DEBUG:root:598,364,6,59,60
DEBUG:root:695,365,5,-59,60
DEBUG:root:705,367,6,-59,60
DEBUG:root:746,364,10,-59,60
DEBUG:root:765,356,8,-59,60
DEBUG:root:777,354,6,-59,60
DEBUG:root:818,354,7,-60,60
DEBUG:root:799,373,7,-59,60
DEBUG:root:715,382,8,-59,60
DEBUG:root:704,389,7,-59,60
DEBUG:root:639,400,9,42,60
DEBUG:root:581,420,9,-45,-51
DEBUG:root:562,442,8,-25,-54
